ID,Surname,First_name,Full_name,Birth_date,Death_date,Artist_id,Biography,Image_link
261,Rasmussen,John,John Rasmussen,1828,1895,260,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Henry_Ward_Ranger_%282886603353%29.jpg/200px-Henry_Ward_Ranger_%282886603353%29.jpg
264,Remington,Frederic,Frederic Remington,1861,1909,263,"Frederic Sackrider Remington  was an American painter, illustrator, sculptor, and writer who specialized in depictions of the American Old West, specifically concentrating on scenes from the last quarter of the 19th century in the Western United States and featuring images of cowboys, American Indians, and the U.S. Cavalry, among other figures from Western culture.",../static/img/anonymous_artist.png
265,Richards,William Trost,William Trost Richards,1833,1905,264,William Trost Richards  was an American landscape artist. He was associated with both the Hudson River School and the American Pre-Raphaelite movement.,//upload.wikimedia.org/wikipedia/commons/b/bb/Frederic_Remington.jpg
266,Richardt,Ferdinand,Ferdinand Richardt,1819,1895,265,"Joachim Ferdinand Richardt  Danish-American artist, in Denmark known for his lithographs of manor houses, and in the U.S. for his paintings of Niagara Falls and other landscapes.",//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/William_Trost_Richards_cropped.png/220px-William_Trost_Richards_cropped.png
267,Robinson,Theodore,Theodore Robinson,1852,1896,266,"Theodore Robinson  was an American painter best known for his Impressionist landscapes. He was one of the first American artists to take up Impressionism in the late 1880s, visiting Giverny and developing a close friendship with Claude Monet. Several of his works are considered masterpieces of American Impressionism.",//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/FerdinandRichardt_selfportrait.jpg/220px-FerdinandRichardt_selfportrait.jpg
268,Roesen,Severin,Severin Roesen,1816,1872,267,Severin Roesen  is a painter known for his abundant fruit and flower still lifes and is today recognized as one of the major American still-life painters of the mid-nineteenth century.,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/RobinsonTheodoreSelfPortrait.jpg/220px-RobinsonTheodoreSelfPortrait.jpg
269,Rossiter,Thomas Pritchard,Thomas Pritchard Rossiter,1818,1871,268,Thomas Prichard Rossiter  was a 19th-century American artist known for his portraits and paintings of historical scenes.,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Severin_Roesen_-_Still_Life_with_Fruit_-_Google_Art_Project.jpg/333px-Severin_Roesen_-_Still_Life_with_Fruit_-_Google_Art_Project.jpg
271,Ryder,Platt Powell,Platt Powell Ryder,1821,1896,270,Biography could not be found,../static/img/anonymous_artist.png
272,Salmon,Robert,Robert Salmon,1755,1844,271,"Robert Salmon  was a maritime artist, active in both England and America.  Salmon completed nearly 1,000 paintings, all save one of maritime scenes or seascapes.  He is widely considered the Father of American Luminism.",../static/img/anonymous_artist.png
275,Schenck,William H.,William H. Schenck,1809,1909,274,Biography could not be found,../static/img/anonymous_artist.png
277,Schreyvogel,Charles,Charles Schreyvogel,1861,1912,276,Charles Schreyvogel  was an American painter of Western subject matter in the days of the disappearing frontier. Schreyvogel was especially interested in military life.,../static/img/anonymous_artist.png
278,Schuyler,Limner,Limner Schuyler,1670,1770,277,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/The-Silenced-War-Whoop-1100x790.jpg/200px-The-Silenced-War-Whoop-1100x790.jpg
279,Sexton,Samuel H.,Samuel H. Sexton,1813,1890,278,Biography could not be found,../static/img/anonymous_artist.png
281,Shaw,Joshua,Joshua Shaw,1776,1861,280,Joshua Shaw  was an English American artist and inventor.,../static/img/anonymous_artist.png
283,Shirlaw,Walter,Walter Shirlaw,1838,1909,282,Walter Shirlaw  was a Scottish-American artist.,../static/img/anonymous_artist.png
284,Smibert,John,John Smibert,1688,1751,283,"John Smibert  was a Scottish American artist born in Edinburgh, Scotland, on 24 March 1688, and died in Boston, Massachusetts, British America on 2 April 1751.",//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Walter_Shirlaw_self-portrait.jpg/220px-Walter_Shirlaw_self-portrait.jpg
286,Sonntag,William Louis,William Louis Sonntag,1822,1900,285,Biography could not be found,../static/img/anonymous_artist.png
287,Spencer,Frederick R.,Frederick R. Spencer,1806,1875,286,Biography could not be found,../static/img/anonymous_artist.png
290,Stiepevich,Vincent G.,Vincent G. Stiepevich,1841,1911,289,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FirstChurchofChristHartfordCTUSA.jpg/125px-FirstChurchofChristHartfordCTUSA.jpg
291,Stock,Joseph Whiting,Joseph Whiting Stock,1815,1855,290,"Joseph Whiting Stock  was an American painter known for his portraits, miniatures, and landscape paintings, many of which he did on commission. He was born on January 30, 1815 in Springfield, Massachusetts.",../static/img/anonymous_artist.png
292,Stone,William Oliver,William Oliver Stone,1830,1875,291,William Oliver Stone  was an American portrait painter.,../static/img/anonymous_artist.png
295,Sully,Thomas,Thomas Sully,1783,1872,294,"Thomas Sully  was an American portrait painter. Born in Great Britain, he lived most of his life in Philadelphia, Pennsylvania. He painted in the style of Thomas Lawrence. His subjects included national political leaders, such as presidents Thomas Jefferson and John Quincy Adams, and General Marquis de Lafayette, and many leading musicians and composers.",../static/img/anonymous_artist.png
296,Sully,Thomas Wilcocks,Thomas Wilcocks Sully,1811,1847,295,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Thomas_Sully.jpg/220px-Thomas_Sully.jpg
300,Tait,Arthur Fitzwilliam,Arthur Fitzwilliam Tait,1819,1905,299,"Arthur Fitzwilliam Tait  was a British-American artist who is known mostly for his paintings of wildlife. During most of his career, he was associated with the New York City art scene.",../static/img/anonymous_artist.png
301,Talcott,Allen B.,Allen B. Talcott,1867,1908,300,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Arthur_Fitzwilliam_Tait_%282887432792%29.jpg/220px-Arthur_Fitzwilliam_Tait_%282887432792%29.jpg
304,Theus,Jeremiah,Jeremiah Theus,1716,1774,303,"Jeremiah Theus )   was a Swiss-born American painter, primarily of portraits.  He was active mainly around Charleston, South Carolina, in which city he remained almost without competition for the bulk of his career.",../static/img/anonymous_artist.png
306,Thompson,Alfred Wordsworth,Alfred Wordsworth Thompson,1840,1896,305,Biography could not be found,../static/img/anonymous_artist.png
307,Thompson,Cephas,Cephas Thompson,1775,1856,306,"Cephas Thompson  was a successful, largely self-taught, early nineteenth-century itinerant portrait painter in the United States.  He was born, died, and lived most of his life in Middleborough, Massachusetts, but traveled extensively down the Atlantic coast and lived far from home for months at a time while pursuing his career as a portraitist.",../static/img/anonymous_artist.png
308,Thompson,Cephas Giovanni,Cephas Giovanni Thompson,1809,1888,307,Biography could not be found,../static/img/anonymous_artist.png
309,Thompson,Jerome B.,Jerome B. Thompson,1814,1886,308,Biography could not be found,../static/img/anonymous_artist.png
310,Thompson,Thomas,Thomas Thompson,1775,1852,309,Biography could not be found,../static/img/anonymous_artist.png
313,Trego,Jonathan K.,Jonathan K. Trego,1817,1868,312,Biography could not be found,../static/img/anonymous_artist.png
314,Trumbull,John,John Trumbull,1756,1843,313,"John Trumbull  was a Revolutionary War veteran and an American artist of the early independence period, notable for his historical paintings of the American Revolutionary War. He has been called The Painter of the Revolution.",../static/img/anonymous_artist.png
317,Twachtman,John Henry,John Henry Twachtman,1853,1902,316,"John Henry Twachtman  was an American painter best known for his impressionist landscapes, though his painting style varied widely through his career. Art historians consider Twachtman's style of American Impressionism to be among the more personal and experimental of his generation. He was a member of ""The Ten"", a loosely allied group of American artists dissatisfied with professional art organizations, who banded together in 1898 to exhibit their works as a stylistically unified group.",../static/img/anonymous_artist.png
318,Ulrich,Charles Frederick,Charles Frederick Ulrich,1858,1908,317,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/9/95/John_Henry_Twachtman.jpg/220px-John_Henry_Twachtman.jpg
319,Tieling,Lodewijk,Lodewijk Tieling,Unknown,Unknown,318,Biography could not be found,../static/img/anonymous_artist.png
320,Chinese,Painter,Painter Chinese,Unknown,Unknown,319,Biography could not be found,../static/img/anonymous_artist.png
321,Unknown Artist,blank_,Unknown Artist,Unknown,Unknown,320,s name may simply be lost over the course of history and time. There are a number of reasons anonymous works arise.,../static/img/anonymous_artist.png
322,Stanley,John Mix,John Mix Stanley,1814,1872,321,"s expedition to California and painted accounts of the campaign, as well as aspects of the Oregon Territory.",../static/img/anonymous_artist.png
323,Vanderlyn,Pieter,Pieter Vanderlyn,1687,1778,322,Pieter Vanderlyn  was an American colonial painter.,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/John_Mix_Stanley_Self-Portrait.jpg/220px-John_Mix_Stanley_Self-Portrait.jpg
324,Kneller,Godfrey,Godfrey Kneller,1646,1723,323,"Sir Godfrey Kneller, 1st Baronet , was the leading portrait painter in England during the late 17th and early 18th centuries, and was court painter to English and British monarchs from Charles II to George I.  His major works include The Chinese Convert ; a series of four portraits of Isaac Newton painted at various junctures of the latter's life; a series of ten reigning European monarchs, including King Louis XIV of France; over 40 ""kit-cat portraits"" of members of the Kit-Cat Club; and ten ""beauties"" of the court of William III, to match a similar series of ten of Charles II's mistresses painted by Kneller's predecessor as court painter, Sir Peter Lely.', 'Notes', 'Sources",//upload.wikimedia.org/wikipedia/commons/9/9a/PauDeWandelaer.jpg
325,Whistler,James McNeill,James McNeill Whistler,1834,1903,324,"James Abbott McNeill Whistler  was an American artist active during the American Gilded Age and based primarily in the United Kingdom. He was averse to sentimentality and moral allusion in painting, and a leading proponent of the credo ""art for art's sake"". His signature for his paintings took the shape of a stylized butterfly possessing a long stinger for a tail. The symbol combined both aspects of his personality: his art is marked by a subtle delicacy, while his public persona was combative. He found a parallel between painting and music and entitled many of his paintings ""arrangements"", ""harmonies"", and ""nocturnes"", emphasizing the primacy of tonal harmony. His most famous painting Arrangement in Grey and Black No. 1 , commonly known as Whistler's Mother, is a revered and often parodied portrait of motherhood. Whistler influenced the art world and the broader culture of his time with his theories and his friendships with leading artists and writers.",//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Godfrey_Kneller_Selfportrait.jpg/220px-Godfrey_Kneller_Selfportrait.jpg
326,Vanderlyn,John,John Vanderlyn,1775,1852,325,John Vanderlyn  was an American neoclassicist painter.,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Whistler_Selbstportr%C3%A4t.jpg/220px-Whistler_Selbstportr%C3%A4t.jpg
332,Waldo,Samuel Lovett,Samuel Lovett Waldo,1783,1861,331,Samuel Lovett Waldo  was an American portrait painter.,../static/img/anonymous_artist.png
337,Ward,Charles Caleb,Charles Caleb Ward,1831,1896,336,"Charles Caleb Ward  was a nineteenth-century Canadian painter.  Born in Saint John, New Brunswick, his loyalist grandfather had arrived from Poughkeepsie, New York and had established the merchant firm of John Ward and Sons.  While he was in Liverpool, England to learn about the shipping business, Charles Caleb Ward spent time figure painting with the English artist William Henry Hunt.  He lived and worked in St. George and later in Rothesay, New Brunswick.  For a time he also lived in New York where he studied landscape painting with Asher B. Durand; he maintained a studio in New York from 1868 to 1872.  His work ""The Circus Is Coming"" has been described as ""evasively tantalizing to modern eyes in that it suggests a sensitive feeling for a spare rectangular sort of design wedded to an Eakins-like intensity of observation.""  Several of his paintings are displayed at the New Brunswick Museum in Saint John.",../static/img/anonymous_artist.png
338,Ward,Edgar Melville,Edgar Melville Ward,1839,1915,337,Edgar Melville Ward  was an American genre painter.,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Charles_Caleb_Ward%2C_His_First_Appearance_in_Public%2C_1870%2C_NGA_126485.jpg/260px-Charles_Caleb_Ward%2C_His_First_Appearance_in_Public%2C_1870%2C_NGA_126485.jpg
341,Weeks,Edwin Lord,Edwin Lord Weeks,1849,1903,340,"Edwin Lord Weeks  was an American artist, noted for his Orientalist works.",../static/img/anonymous_artist.png
344,Weir,Robert Walter,Robert Walter Weir,1803,1889,343,"Robert Walter Weir  was an American artist and educator and is considered a painter of the Hudson River School. Weir was elected to the National Academy of Design in 1829 and was an instructor at the United States Military Academy. His best-known work is Embarkation of the Pilgrims in the United States Capitol rotunda at Washington, D.C. More than 450 of his works are known, and he created many unsigned paintings that may never be attributed to him.",../static/img/anonymous_artist.png
346,Wertmuller,Adolph Ulrich,Adolph Ulrich Wertmuller,1751,1811,345,Biography could not be found,../static/img/anonymous_artist.png
347,West,Benjamin,Benjamin West,1738,1820,346,"Benjamin West PRA  was a British North American artist, who painted famous historical scenes such as The Death of Nelson, The Death of General Wolfe, and Benjamin Franklin Drawing Electricity from the Sky.",../static/img/anonymous_artist.png
349,Whittredge,Worthington,Worthington Whittredge,1820,1910,348,"Thomas Worthington Whittredge  was an American artist of the Hudson River School. Whittredge was a highly regarded artist of his time, and was friends with several leading Hudson River School artists including Albert Bierstadt and Sanford Robinson Gifford. He traveled widely and excelled at landscape painting, many examples of which are now in major museums. He served as president of the National Academy of Design from 1874 to 1875 and was a member of the selection committees for the 1876 Philadelphia Centennial Exposition and the 1878 Paris Exposition, both important venues for artists of the day.",//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/%27Self-Portrait_at_Nineteen%27_by_Edwin_White%2C_c.1836.jpg/220px-%27Self-Portrait_at_Nineteen%27_by_Edwin_White%2C_c.1836.jpg
351,Williams,William,William Williams,1727,1791,350,Biography could not be found,../static/img/anonymous_artist.png
352,Wollaston,John,John Wollaston,1700,1800,351,Biography could not be found,../static/img/anonymous_artist.png
353,Wood,Joseph,Joseph Wood,1778,1830,352,Biography could not be found,../static/img/anonymous_artist.png
354,Wood,Thomas Waterman,Thomas Waterman Wood,1823,1903,353,"Thomas Waterman Wood  was an American painter born in Montpelier, Vermont.",../static/img/anonymous_artist.png
355,Woodside,John A.,John A. Woodside,1781,1852,354,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Thomas_Waterman_Wood_self_portrait_1884.jpg/220px-Thomas_Waterman_Wood_self_portrait_1884.jpg
356,Wyant,Alexander H.,Alexander H. Wyant,1836,1892,355,"Alexander Helwig Wyant  was an American landscape painter. Also known as Alexander Wyant, A. H. Wyant, he was active as an artist in Arkville, New York, and Keene Valley, New York, among other places.",../static/img/anonymous_artist.png
358,Young,Harvey O.,Harvey O. Young,1840,1901,357,Biography could not be found,../static/img/anonymous_artist.png
362,Jennys,William,William Jennys,1748,1848,361,"William Jennys , also known as J. William Jennys, was an American primitive portrait painter who was active from about 1790 to 1810.  He traveled throughout New England seeking commissions in rural areas and small towns.",../static/img/anonymous_artist.png
364,Green,James,James Green,1771,1834,363,Biography could not be found,../static/img/anonymous_artist.png
365,Cushing,Howard,Howard Cushing,1869,1917,364,Biography could not be found,../static/img/anonymous_artist.png
368,Spencer,Lilly Martin,Lilly Martin Spencer,1822,1902,367,"Lilly Martin Spencer   was one of the most popular and widely reproduced American female genre painters in the mid-nineteenth century. She primarily painted domestic scenes, paintings of women and children in a warm happy atmosphere, although over the course of her career she would also come to paint works of varying style and subject matter, including the portraits of famous individuals such as suffragist Elizabeth Cady Stanton. Although she did have an audience for her work, Spencer had difficulties earning a living as a professional painter and faced financial trouble for much of her adult life.",../static/img/anonymous_artist.png
369,Ream,Carducius Plantagenet,Carducius Plantagenet Ream,1838,1917,368,"Cadurcis Plantagenet Ream, also referred to as Carducius Plantagenet Ream  was an American still-life painter who specialized in fruit. The currently available art gallery and biographical sources are almost evenly divided as to what his actual first name was. Some give both.",//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Lilly_Martin_Spencer.jpg/220px-Lilly_Martin_Spencer.jpg
370,Kauffmann,Angelica,Angelica Kauffmann,1741,1807,369,"Maria Anna Angelika Kauffmann RA , usually known in English as Angelica Kauffman, was a Swiss Neoclassical painter who had a successful career in London and Rome. Remembered primarily as a history painter, Kauffmann was a skilled portraitist, landscape and decoration painter. She was one of the two female founding members of the Royal Academy in London in 1768.",//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/CPReam.png/185px-CPReam.png
372,Kilburn,Unknown,Kilburn,1720,1775,371,Biography could not be found,../static/img/anonymous_artist.png
374,Twibill,George W. Jr.,George W. Jr. Twibill,1806,1836,373,Biography could not be found,../static/img/anonymous_artist.png
400,Barnes,Demah Prince,Demah Prince Barnes,Unknown,Unknown,399,Biography could not be found,../static/img/anonymous_artist.png
406,British Painter,blank_,British Painter,Unknown,Unknown,405,Biography could not be found,../static/img/anonymous_artist.png
408,Unidentified Artist,blank_,Unidentified Artist,Unknown,Unknown,407,Biography could not be found,../static/img/anonymous_artist.png
410,Sōami,blank_,Sōami,Unknown,1525,409,Sōami  was a Japanese painter and landscape artist. ,../static/img/anonymous_artist.png
416,Giovanni da Udine,blank_,Giovanni da Udine,1487,1564,415," Ricamatori, better known as Giovanni da Udine , was an Italian painter and architect born in Udine. A painter also named Giovanni da Udine was exiled from his native city in 1472.",../static/img/anonymous_artist.png
417,French Painter,blank_,French Painter,Unknown,Unknown,416,"Sir Topham Hatt  is in charge of all the engines of the North Western Railway on the island of Sodor. He is nostalgic, and the way he runs his railway recalls the better elements of the days of steam. He sometimes works on the steam engines himself, and as a young man he drove a steam-powered lorry named Elizabeth. Sir Topham Hatt has great influence on the island. Perceptive and shrewd, he has used elaborate schemes to get to the bottom of a problem. He is also firm but fair, and often acts as a father-figure to the railway engines - when an engine is upset he speaks to them kindly, and he treats all his engines equally. When an engine misbehaves, he is willing to allow them a second chance if they are truly sorry.', 'Lady Hatt is married to Sir Topham Hatt. She occasionally helps her husband with railway business, and the engines sometimes go to lengths to help throw parties for her birthday. She likes the railway, but had a certain dislike for Annie and Clarabel until they were cleaned and repainted. Although her husband runs a railway, she likes a day out on a boat or in their car. From seasons 1 to 5, Lady Hatt had long, curly, red hair. In appearances since, she has short, straighter brown hair.', ""Stephen Hatt and Bridget Hatt live on Sodor and regularly spend holidays with their grandparents, Sir Topham Hatt and Lady Hatt. They spent a long holiday on Toby's old line. Stephen Hatt was excited when he first met Toby, but Bridget Hatt accidentally offended him by assuming he was an electric tram. Some time later, after Toby came to Sir Topham Hatt’s railway, the family traveled with Toby to an old castle and mine on a map the children found. The books give the children's full names as Stephen Topham Hatt and Bridget Amanda Hatt. Stephen Hatt ultimately became Sir Topham Hatt, like his father and grandfather. In the television series, the two have rarely aged."", 'Farmer Finney is the driver of Terence the Tractor. He owns a battery farm near Hackenbeck. His name was revealed in the 1996 annual story ""James Gets Cracking."" He first speaks in the season 21 episode ""Terence Breaks the Ice."" His CGI model is retooled from the stout member of the Sodor Brass Band.', ""Mrs. Kyndley is an elderly lady who lives near Thomas' branch line. While she was bedridden, an avalanche blocked the railway line by her house. By hanging a bright red dress from her window, she successfully stopped Thomas' train before it crashed. As a token of gratitude, Sir Topham Hatt paid for Mrs Kyndley to visit Bournemouth to get better. Years later, the other engines, hearing Thomas' story, wished to express thanks to Mrs Kyndley for helping the railway, and threw her a Christmas party at Tidmouth Sheds. Percy's crew helped to gather a good luck package for her daughter's wedding: Old Slowcoach , a new set of buffers , a flatbed , and Thomas . Once when her sister was unable to make a visit, Sir Topham Hatt went to great lengths to cheer Mrs. Kyndley up. She had a ride with Harold the Helicopter, then was taken by James to open the grounds at Harry Topper's Fair."", 'Jem Cole is Trevor's driver, and helped save him from scrap when Edward found him. Jem Cole also does other mechanical work on Sodor, also restoring Elizabeth and the Refreshment Lady's Teashop. Jem Cole has a love for old vehicles, and was a member of the party that went to rescue a lost engine called Duke. He was one of Rheneas' passengers in a famous night that saved the narrow gauge railway. His goat once caused delay for Percy, but ended up saving Maithwaite Station from a group of vandals. Jem's last mention by name was in season 7, in which he wore a suit and a derby, unlike his original, utilitarian look. He wasn't named again until season 20's ""Three Steam Engines Gruff"".', ""The Reverend is a vicar who lives at the Vicarage near Edward's branch line. When Trevor the Traction Engine was facing scrap, Edward and his crew pleaded to The Vicar for help. After a demonstration, The Vicar was able to purchase Trevor for an agreeable price, and gave him a new home at the Vicarage orchard. The Vicar regularly holds Sunday School outings, fetes, and garden parties. He often employs Jem Cole and Trevor to give rides at such holidays. He keeps bees in the orchard and gives some of the honey to his friends. One time their hive broke while en route, and became a nuisance to James and his crew until they could return them to the orchard. The Vicar dresses in black with a wide-brim hat. In The Railway Series, the character of The Vicar appears in the books Edward the Blue Engine and Thomas and the Twins."", 'Farmer Trotter is the owner of a pig farm. He also has sheep and bees. Farmer Trotter is good friends with Farmer McColl. He was one of the men that found Duke in series 4. His first speaking role was in series 7. Farmer Trotter has appeared in season 3 through 8, 10 through 14, 16 and 19. He was also mentioned in series 15 and 21, and has cameos in some films.', 'The Refreshment Lady sells tea and other refreshments to passengers on the Narrow-Gauge Railway. She owns a shop at the bay called ""Neptune's Refreshments."" She was almost left behind once when Peter Sam rushed to the junction. She was angry at first, but forgiving when she learned that Henry had goaded him into rushing. Later, Peter Sam helped the Refreshment Lady to set up a new, mobile shop by restoring an old, disused coach.', 'Dowager Hatt is Sir Topham Hatt's mother, Lady Hatt's mother-in-law and Stephen and Bridget's great-grandmother, who had visited Sodor many times. On one visit, after a string of technical problems on the railway, her Dalmatian became frightened and ran away, spending a work day inside Thomas' cab. She decides after the incident to call him ""Gremlin,"" for all the errors that had happened that day. Since season 13, Dowager Hatt appears to live on Sodor. She was first seen in season 5, and has appeared in most seasons of the series ever since. She also appeared in Day of the Diesels and cameoed in Sodor's Legend of the Lost Treasure and The Great Race. A portrait of her appeared in The Adventure Begins.', 'Miss Jenny Packard is the owner of a construction business known as Packard & Co., or the Sodor Construction Company. She often works closely with the railways and her machines, ""The Pack,"" are friendly towards the railway. She has red hair and has a Land Rover.', 'Cyril is a Fogman who lives on Sodor in an old cottage in Misty Valley. When there is fog about, he puts detonators on the tracks to warn the engines about the fog. One time he was replaced by a Foghorn, but saved the day when the foghorn caused a landslide, and made Thomas crash. Cyril was soon given the job back. He is the second fogman named in the TV series, after Old Bailey from series 5.', ""Farmer McColl lives and works on a farm in the countryside with many animals, including cows, chickens, sheep and pigs. Sometimes when there's bad weather on the island, he needs help from engines to keep his animals safe and healthy. Engines like Toby the Tram Engine, Emily and Trevor the Traction Engine have all helped Farmer McColl in some way for his animals. Once, Thomas the Tank Engine left a group of schoolchildren at his farm, and they spent the day learning about the animals. Farmer McColl was introduced in season 6."", 'Alicia Botti is a famous opera singer . Thomas is chosen to take her to perform at a concert. However, after finding a mouse inside Clarabel, she refuses to travel in the coach. She instead chooses Percy. Posters of her concerts are seen throughout the show.', ""The Duke and Duchess of Boxford semi-regularly visit Sodor, and have their own private engine Spencer, whom on his first visit to Sodor, boasted to Gordon but then ran out of water on Gordon's Hill. The Duke and Duchess later bought a holiday home on the Island, and had Edward the Blue Engine take their furniture wagon, who beat Spencer to the house. The Duke and Duchess visit quite regularly to see the railway."", 'Lord Callan is the Scottish-born lord  of Callan Castle and nearby surrounding land. He first appeared in season 7.', 'Mr Peregrine Percival, The Thin Controller, is the head of the Skarloey Railway in the show. He is often found on his bike. He wears glasses and a bowler hat. In the US version, he is sometimes referred to as the Narrow-Gauge Controller. Mr Percival was introduced in season 9. In Season 10 he is featured with his unnamed wife.', 'The Mayor of Sodor was first mentioned in seasons 7 and 8, before making his first appearance in season 11.', 'Mr. Bubbles is a clown famous for blowing very big bubbles and performing with very large balloons. The hat he wears during performances looks like a funnel Thomas once had to wear.', 'The Dock Manager is in charge of Brendam Docks. Another dock manager has appeared in the series prior to season 13. He appeared in season 6, 7, 8, 9, 11 and 12. ', 'Sir Robert Norramby is the Earl of Sodor and the owner of Stephen, Millie, Glynn and Ulfstead Castle. His official title is Earl, although he is popularly called ""The Duke of Sodor"". In The Railway Series, he succeeded to the title as a boy after his father was killed in the Second World War. In The Island of Sodor: Its People, History and Railways he is termed Richard Robert Norramby. He opened the loop line to Lakeside on the Skarloey Railway. He returned to Sodor after traveling the world, to restore Ulfstead Castle and turn it into a visitor attraction.', 'Captain Joe is Skiff's present owner, and the lighthouse keeper at Arlesburgh Harbour, who made his debut in the season 20 episode ""Blown Away"". Following Sailor John's arrest, Captain Joe bought and now presently owns Skiff. In ""Blown Away"", he and Skiff once helped the residents of Arlesburgh to prepare for a storm.', ""Fergus Duncan  is the controller of the 15-inch gauge Arlesdale Railway. He is taller than Sir Topham Hatt and Mr Percival."", ""The Thin Clergyman writes books. He is modeled after Wilbert Awdry. He first appeared in Sodor's Legend of the Lost Treasure."", 'The Fat Clergyman takes photographs. His first appearance was in season 20. He also appears in season 21 and is modeled after Edwin Boston.', 'Farmer Willie is a farmer  who works on a farm, near the 15-inch gauge Arlesdale Railway.', 'Mr. Arkwright is an engine driver and a close assistant to The Fat Controller. Introduced in the 2009 video ""Team Up With Thomas,"" Arkwright presents live-action segments between the stories in which he instructs viewers to help him in a project, such as creating an engine out of cardboard boxes for The Fat Controller's grandchildren. His office is located in the engine drivers' locker room at Knapford Station. Displayed inside the office are portraits of The Fat Controller and the engines.', ""Mr. Gilbert Perkins  is an engine driver who works on Sodor and is a good friend of Sir Topham Hatt. He has appeared in between stories on DVDs since 2010, showing the viewers how to make crafts like a cake that looks just like Thomas to dressing up to reading stories. In further appearances, he was shown reading Railway Series stories to the viewers and writing postcards in Mr Edwards' signal box. He hosted a version of Down at the Station titled Mr Perkins",//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Le_Vite_-_Giovanni_da_Udine.jpg/150px-Le_Vite_-_Giovanni_da_Udine.jpg
418,Boucher,François,François Boucher,1703,1770,417,"François Boucher ; 29 September 1703xa0– 30 May 1770) was a French painter, draughtsman and etcher, who worked in the Rococo style. Boucher is known for his idyllic and voluptuous paintings on classical themes, decorative allegories, and pastoral scenes. He was perhaps the most celebrated painter and decorative artist of the 18th century.",../static/img/anonymous_artist.png
419,Leen,Willem van,Willem van Leen,1753,1825,418,Willem van Leen  was a Dutch painter.,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Boucher_par_Gustav_Lundberg_1741.jpg/220px-Boucher_par_Gustav_Lundberg_1741.jpg
420,Wootton James,blank_,Wootton James,1686,1765,419,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/WLANL_-_Quistnix%21_-_Visserijmuseum_-_Voorbereidingen_voor_de_verkoop_van_de_nieuwe_haring%2C_Adriaan_de_Lelie_en_Willem_van_Leen%2C_1815.jpg/220px-WLANL_-_Quistnix%21_-_Visserijmuseum_-_Voorbereidingen_voor_de_verkoop_van_de_nieuwe_haring%2C_Adriaan_de_Lelie_en_Willem_van_Leen%2C_1815.jpg
421,Zucchi,Antonio,Antonio Zucchi,1726,1796,420,"Antonio Pietro Francesco Zucchi ARA  was an Italian painter and printmaker of the Neoclassic period. Born in Venice, he studied under his uncle Carlo Zucchi and later Francesco Fontebasso and Jacopo Amigoni. He married the painter Angelica Kauffman in 1781, who late in life moved with him to Rome. In Rome Zucchi produced a number of etchings of capriccio and veduta of classical buildings or ruins. He worked with Robert Adam in the decoration of houses in England, including Kenwood, Newby Hall, Osterley Park, Nostell Priory, and Luton House.",../static/img/anonymous_artist.png
422,Spanish Painter,blank_,Spanish Painter,Unknown,Unknown,421,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Angelica_Kaufmann_Antonio_Zucchi.jpg/220px-Angelica_Kaufmann_Antonio_Zucchi.jpg
435,Reynolds,Joshua,Joshua Reynolds,1723,1792,434,"Sir Joshua Reynolds PRA FRS FRSA  was an English painter, specialising in portraits. John Russell said he was one of the major European painters of the 18th century. He promoted the ""Grand Style"" in painting which depended on idealization of the imperfect. He was a founder and first president of the Royal Academy of Arts, and was knighted by George III in 1769.",../static/img/anonymous_artist.png
438,Amigoni,Jacopo,Jacopo Amigoni,1682,1752,437,"Jacopo Amigoni , also named Giacomo Amiconi, was an Italian painter of the late-Baroque or Rococo period, who began his career in Venice, but traveled and was prolific throughout Europe, where his sumptuous portraits were much in demand.",../static/img/anonymous_artist.png
